DATE,B230RC0Q173SBEA_PC1
1962-01-01,1.59828
1962-04-01,1.56324
1962-07-01,1.53338
1962-10-01,1.50681
1963-01-01,1.47990
1963-04-01,1.45164
1963-07-01,1.44710
1963-10-01,1.42903
1964-01-01,1.40999
1964-04-01,1.40493
1964-07-01,1.38427
1964-10-01,1.35321
1965-01-01,1.31602
1965-04-01,1.27062
1965-07-01,1.24365
1965-10-01,1.21334
1966-01-01,1.18677
1966-04-01,1.17684
1966-07-01,1.14566
1966-10-01,1.12762
1967-01-01,1.12585
1967-04-01,1.10966
1967-07-01,1.08443
1967-10-01,1.05884
1968-01-01,1.02441
1968-04-01,1.00627
1968-07-01,0.99743
1968-10-01,0.98511
1969-01-01,0.98002
1969-04-01,0.98128
1969-07-01,0.98957
1969-10-01,1.01519
1970-01-01,1.05519
1970-04-01,1.13725
1970-07-01,1.19860
1970-10-01,1.25059
1971-01-01,1.31170
1971-04-01,1.29005
1971-07-01,1.25646
1971-10-01,1.21865
1972-01-01,1.15059
1972-04-01,1.09712
1972-07-01,1.04856
1972-10-01,1.00411
1973-01-01,0.98020
1973-04-01,0.96643
1973-07-01,0.95632
1973-10-01,0.93529
1974-01-01,0.92428
1974-04-01,0.91608
1974-07-01,0.92181
1974-10-01,0.93650
1975-01-01,0.93411
1975-04-01,0.95973
1975-07-01,1.00025
1975-10-01,1.00047
1976-01-01,1.01285
1976-04-01,0.98492
1976-07-01,0.94734
1976-10-01,0.95412
1977-01-01,0.97233
1977-04-01,1.00103
1977-07-01,1.02364
1977-10-01,1.04332
1978-01-01,1.04454
1978-04-01,1.05703
1978-07-01,1.06994
1978-10-01,1.07685
1979-01-01,1.09733
1979-04-01,1.10491
1979-07-01,1.11468
1979-10-01,1.13336
1980-01-01,1.16082
1980-04-01,1.18005
1980-07-01,1.17648
1980-10-01,1.13746
1981-01-01,1.05886
1981-04-01,1.00489
1981-07-01,0.97821
1981-10-01,0.96813
1982-01-01,0.97750
1982-04-01,0.97181
1982-07-01,0.95397
1982-10-01,0.94022
1983-01-01,0.92958
1983-04-01,0.91503
1983-07-01,0.90538
1983-10-01,0.89199
1984-01-01,0.88163
1984-04-01,0.87767
1984-07-01,0.87552
1984-10-01,0.88411
1985-01-01,0.87774
1985-04-01,0.88698
1985-07-01,0.90088
1985-10-01,0.90839
1986-01-01,0.92059
1986-04-01,0.92033
1986-07-01,0.91001
1986-10-01,0.89896
1987-01-01,0.89552
1987-04-01,0.89529
1987-07-01,0.89558
1987-10-01,0.90337
1988-01-01,0.90864
1988-04-01,0.90549
1988-07-01,0.91889
1988-10-01,0.92114
1989-01-01,0.92216
1989-04-01,0.94027
1989-07-01,0.95535
1989-10-01,0.97900
1990-01-01,1.00463
1990-04-01,1.09061
1990-07-01,1.16957
1990-10-01,1.25134
1991-01-01,1.33448
1991-04-01,1.34235
1991-07-01,1.34480
1991-10-01,1.33330
1992-01-01,1.31889
1992-04-01,1.33406
1992-07-01,1.34704
1992-10-01,1.35068
1993-01-01,1.35141
1993-04-01,1.32078
1993-07-01,1.29300
1993-10-01,1.26608
1994-01-01,1.23958
1994-04-01,1.22928
1994-07-01,1.21052
1994-10-01,1.19711
1995-01-01,1.19657
1995-04-01,1.18698
1995-07-01,1.18619
1995-10-01,1.18710
1996-01-01,1.16772
1996-04-01,1.16817
1996-07-01,1.17154
1996-10-01,1.18400
1997-01-01,1.20006
1997-04-01,1.20185
1997-07-01,1.20795
1997-10-01,1.20115
1998-01-01,1.19282
1998-04-01,1.18024
1998-07-01,1.16061
1998-10-01,1.15006
1999-01-01,1.14675
1999-04-01,1.14652
1999-07-01,1.15236
1999-10-01,1.15068
2000-01-01,1.15101
2000-04-01,1.12528
2000-07-01,1.07882
2000-10-01,1.04280
2001-01-01,1.01847
2001-04-01,1.00567
2001-07-01,0.99551
2001-10-01,0.98512
2002-01-01,0.97336
2002-04-01,0.96055
2002-07-01,0.95208
2002-10-01,0.94163
2003-01-01,0.93192
2003-04-01,0.93159
2003-07-01,0.92646
2003-10-01,0.92108
2004-01-01,0.90743
2004-04-01,0.90335
2004-07-01,0.90352
2004-10-01,0.91371
2005-01-01,0.93075
2005-04-01,0.92633
2005-07-01,0.93221
2005-10-01,0.93499
2006-01-01,0.94217
2006-04-01,0.95403
2006-07-01,0.95836
2006-10-01,0.96268
2007-01-01,0.96495
2007-04-01,0.96378
2007-07-01,0.96330
2007-10-01,0.96117
2008-01-01,0.95972
2008-04-01,0.95458
2008-07-01,0.94020
2008-10-01,0.92032
2009-01-01,0.90381
2009-04-01,0.88966
2009-07-01,0.87602
2009-10-01,0.87332
2010-01-01,0.86991
2010-04-01,0.84597
2010-07-01,0.81151
2010-10-01,0.77882
2011-01-01,0.74166
2011-04-01,0.72481
2011-07-01,0.72532
2011-10-01,0.71841
2012-01-01,0.71628
2012-04-01,0.71350
2012-07-01,0.70953
2012-10-01,0.70881
2013-01-01,0.69364
2013-04-01,0.68551
2013-07-01,0.68609
2013-10-01,0.69176
2014-01-01,0.71072
2014-04-01,0.72418
2014-07-01,0.73163
2014-10-01,0.73586
2015-01-01,0.72962
2015-04-01,0.72651
2015-07-01,0.72286
2015-10-01,0.71828
2016-01-01,0.72433
2016-04-01,0.72190
2016-07-01,0.71301
2016-10-01,0.69577
2017-01-01,0.67354
2017-04-01,0.65295
2017-07-01,0.63689
2017-10-01,0.62649
2018-01-01,0.62283
2018-04-01,0.62472
2018-07-01,0.62334
2018-10-01,0.61891
2019-01-01,0.61469
